Image,Card,Main Keywords,One Liner,Card Name,Card Type,Latest Appearance,Major or Minor,Reading Journal,Times Appeared,id
38_Three_of_Cups.jpg,Three of Cups,"Celebration,Joy,,,,,,,
39_Four_of_Cups.jpg,Four of Cups,"Contemplation,Introspection,,,,,,,
40_Five_of_Cups.jpg,Five of Cups,"Disappointment,Emotional Setbacks,,,,,,,
41_Six_of_Cups.jpg,Six of Cups,"Childhood Memories,Innocence,,,,,,,
42_Seven_of_Cups.jpg,Seven of Cups,"Choices,Daydreams,,,,,,,
43_Eight_of_Cups.jpg,Eight of Cups,"Departure,Higher Purpose,,,,,,,
44_Nine_of_Cups.jpg,Nine of Cups,"Contentment,Fulfillment,,,,,,,
45_Ten_of_Cups.jpg,Ten of Cups,"Domestic Bliss,Harmony,,,,,,,
46_Page_of_Cups.jpg,Page of Cups,"Creativity,Intuition,,,,,,,
47_Knight_of_Cups.jpg,Knight of Cups,"Charm,Pursuit of Desires,,,,,,,
48_Queen_of_Cups.jpg,Queen of Cups,"Compassion,Emotional Wisdom,,,,,,,
49_King_of_Cups.jpg,King of Cups,"Balance,Emotional Maturity,,,,,,,
50_Ace_of_Pentacles.jpg,Ace of Pentacles,"Material Well-Being,New Opportunity,,,,,,,
51_Two_of_Pentacles.jpg,Two of Pentacles,"Adaptability,Balance,,,,,,,
52_Three_of_Pentacles.jpg,Three of Pentacles,"Collaboration,Recognition,,,,,,,
53_Four_of_Pentacles.jpg,Four of Pentacles,"Conservation,Possessions,,,,,,,
54_Five_of_Pentacles.jpg,Five of Pentacles,"Financial Struggle,Hardship,,,,,,,
55_Six_of_Pentacles.jpg,Six of Pentacles,"Charity,Generosity,,,,,,,
56_Seven_of_Pentacles.jpg,Seven of Pentacles,"Assessment,Patience,,,,,,,
57_Eight_of_Pentacles.jpg,Eight of Pentacles,"Craftsmanship,Dedication,,,,,,,
58_Nine_of_Pentacles.jpg,Nine of Pentacles,"Accomplishment,Luxury,,,,,,,
59_Ten_of_Pentacles.jpg,Ten of Pentacles,"Family Legacy,Generational Wealth,,,,,,,
60_Page_of_Pentacles.jpg,Page of Pentacles,"Curiosity,Knowledge,,,,,,,
61_Knight_of_Pentacles.jpg,Knight of Pentacles,"Diligence,Methodical Approach,,,,,,,
62_Queen_of_Pentacles.jpg,Queen of Pentacles,"Abundance,Connection to Nature,,,,,,,
63_King_of_Pentacles.jpg,King of Pentacles,"Financial Stability,Leadership,,,,,,,
64_Ace_of_Swords.jpg,Ace of Swords,"Breakthroughs,New Clarity,,,,,,,
65_Two_of_Swords.jpg,Two of Swords,"Balance,Choices,,,,,,,
66_Three_of_Swords.jpg,Three of Swords,"Emotional Pain,Heartbreak,,,,,,,
67_Four_of_Swords.jpg,Four of Swords,"Recuperation,Rest,,,,,,,
68_Five_of_Swords.jpg,Five of Swords,"Caution,Conflict,,,,,,,
69_Six_of_Swords.jpg,Six of Swords,"Journey,Moving Forward,,,,,,,
70_Seven_of_Swords.jpg,Seven of Swords,"Caution,Deception,,,,,,,
71_Eight_of_Swords.jpg,Eight of Swords,"Feeling Trapped,Liberation,,,,,,,
72_Nine_of_Swords.jpg,Nine of Swords,"Anxiety,Inner Turmoil,,,,,,,
73_Ten_of_Swords.jpg,Ten of Swords,"Betrayal,Rock Bottom,,,,,,,
74_Page_of_Swords.jpg,Page of Swords,"Curiosity,Exploration,,,,,,,
75_Knight_of_Swords.jpg,Knight of Swords,"Determination,Fearlessness,,,,,,,
76_Queen_of_Swords.jpg,Queen of Swords,"Discernment,Independence,,,,,,,
77_King_of_Swords.jpg,King of Swords,"Authority,Intellectual Power,,,,,,,
,IV the Emperor Reversed,,"The Emperor Reversed signifies chaos,,,,,,,
,Eight of swords reversed,,The Eight of Swords reversed signifies liberation from restrictions and the courage to face challenges head-on.,,,,,,,
,Ace of Pentacles Reversed,,The Ace of Pentacles Reversed signifies missed opportunities and a lack of resources or stability.,,,,,,,
,XX Judgement Reversed,,The XX Judgement card reversed signifies self-doubt and a reluctance to face the truth.,,,,,,,
,,,The Fool: Embrace new beginnings and take a leap of faith.,,,,,,,
,Ace of Swords Reversed,"Communication,Inner Turmoil",,,,,,,
,Two of Wands Reversed,"Caution,New Opportunities",,,,,,,
,The Chariot Reversed,"Emotional Setbacks,Inner Turmoil,,,,,,,
,Knight of Wands Reversed,"Anxiety,Emotional Setbacks,,,,,,,
,The Empress Reversed,"Emotional Pain,Emotional Setbacks,,,,,,,
,The Magician Reversed,"Deception,Emotional Setbacks,,,,,,,
37_Two_of_Cups.jpg,Two of Cups,"Connection,Unity",Two of Cups (Two%20of%20Cups%2013ef84a044028199b1ecc7ce4ab5730b.md),Cups,,Partnership,Minor,"The Two of Cups signifies partnership,unity
74_Page_of_Swords.jpg,Page of Swords,"Curiosity,Knowledge",Page of Swords (Page%20of%20Swords%2013ef84a0440281bcb096e48fb7342765.md),Swords,,Exploration,Minor,One-liner: The Minor Swords card represents challenges and conflicts that require clear thinking and rational decision-making.,
2_The_High_Priestess.jpg,II The High Priestess,"Hidden Knowledge,Mystery",II The High Priestess (II%20The%20High%20Priestess%2013ef84a04402810ba4fce1ff44157744.md),Major Card,,Intuition,Major,The High Priestess: Intuition and inner wisdom guide the seeker toward deeper understanding.,
11_Justice.jpg,XI Justice,2024",Balance,XI Justice (XI%20Justice%2013ef84a0440281f28cd1dd295ca703e3.md),Major Card,"Nov 22,"Accountability,Fairness",Major,"The XI Justice card symbolizes fairness
52_Three_of_Pentacles.jpg,Three of Pentacles,"Collaboration,Teamwork",Three of Pentacles (Three%20of%20Pentacles%2013ef84a0440281b490eff80f92927875.md),Pentacles,,Recognition,Minor,"The Three of Pentacles represents collaboration,mastery
42_Seven_of_Cups.jpg,Seven of Cups,"Choices,Fantasies",Seven of Cups (Seven%20of%20Cups%2013ef84a04402811faa2ed3be6cf044f0.md),Cups,,Daydreams,Minor,"The Seven of Cups represents choices,illusions
27_Six_of_Wands.jpg,Six of Wands,"Recognition,Victory",Six of Wands (Six%20of%20Wands%2013ef84a04402817aa426e40188985d96.md),Wands,,Success,Minor,"Victory and recognition are on the horizon,signaling success in your endeavors."
10_The_Wheel.jpg,X The Wheel,"Change,Fate",X The Wheel (X%20The%20Wheel%2013ef84a0440281ba82d5d13510770388.md),Major Card,,Cycles,Major,"The Wheel signifies change,cycles
57_Eight_of_Pentacles.jpg,Eight of Pentacles,2025",Dedication,Eight of Pentacles (Eight%20of%20Pentacles%2013ef84a0440281d3b4eaf0b209926828.md),Pentacles,"Feb 19,"Craftsmanship,Skill Development",Minor,"The Eight of Pentacles represents diligence
19_The_Sun.jpg,XIX The Sun,"Enlightenment,Success",XIX The Sun (XIX%20The%20Sun%2013ef84a044028191b4f9e0f9dc93b32b.md),Major Card,,Joy,Major,"One-liner: The Sun symbolizes joy,success
18_The_Moon.jpg,XVIII The Moon,"Emotions,Intuition",XVIII The Moon (XVIII%20The%20Moon%2013ef84a0440281eb943ee66b7eaccc8c.md),Major Card,,Hidden,Major,"The Moon: Illusion,intuition
63_King_of_Pentacles.jpg,King of Pentacles,"Financial Stability,Mastery",King of Pentacles (King%20of%20Pentacles%2013ef84a0440281098974ef0be5ad3f47.md),Pentacles,,Leadership,Minor,"The King of Pentacles represents wealth,stability
58_Nine_of_Pentacles.jpg,Nine of Pentacles,2025",Luxury,Nine of Pentacles (Nine%20of%20Pentacles%2013ef84a044028147b884e11ed4582456.md),Pentacles,"Feb 19,"Accomplishment,Self-Sufficiency",Minor,"The Nine of Pentacles signifies self-sufficiency
13_Death.jpg,XIII Death,"Endings,Transformation",XIII Death (XIII%20Death%2013ef84a044028188a967fd4ee63bf880.md),Major Card,,Rebirth,Major,"The Death card signifies transformation,endings
7_The_Chariot.jpg,"VII The Chariot ","Determination,Willpower",VII The Chariot  (VII%20The%20Chariot%2013ef84a0440281d18126cf6061586049.md),Major Card,,Triumph,Major,The Chariot: Triumph over obstacles and the determination to succeed.,
14_Temperance.jpg,XIV Temperance,"Balance,Moderation",XIV Temperance (XIV%20Temperance%2013ef84a0440281018b05c838b8337058.md),Major Card,,Harmony,Major,Balance and moderation are key to finding harmony in life.,
69_Six_of_Swords.jpg,Six of Swords,2025",Moving Forward,Six of Swords (Six%20of%20Swords%2013ef84a04402817ab269ffccef4bd308.md),Swords,"Feb 19,"Journey,Transition",Minor,"The Six of Swords signifies a journey towards healing and transition
70_Seven_of_Swords.jpg,Seven of Swords,"Caution,Sneakiness",Seven of Swords (Seven%20of%20Swords%2013ef84a04402814fb1e4e6c6328af789.md),Swords,,Deception,Minor,"The Seven of Swords represents deception,strategy
12_The_Hanged_Man.jpg,XII The Hanged Man,"Change,Surrender",XII The Hanged Man (XII%20The%20Hanged%20Man%2013ef84a04402818fb42ee7e9e6508141.md),Major Card,,New Perspective,Major,The Hanged Man: Surrender and new perspectives.,
16_The_Tower.jpg,XVI The Tower,"Chaos,Transformation",XVI The Tower (XVI%20The%20Tower%2013ef84a0440281c0a590ce403d5b9d01.md),Major Card,,Sudden Upheaval,Major,"The Tower: Sudden upheaval and revelation,leading to transformation."
55_Six_of_Pentacles.jpg,Six of Pentacles,"Charity,Sharing",Six of Pentacles (Six%20of%20Pentacles%2013ef84a044028162ade4d47a8184c87b.md),Pentacles,,Generosity,Minor,"The Six of Pentacles represents generosity,balance
66_Three_of_Swords.jpg,Three of Swords,"Emotional Pain,Sorrow",Three of Swords (Three%20of%20Swords%2013ef84a0440281b8ae44dc2b13fd16f2.md),Swords,,Heartbreak,Minor,"The Three of Swords represents heartbreak,emotional pain
40_Five_of_Cups.jpg,Five of Cups,"Disappointment,Loss",Five of Cups (Five%20of%20Cups%2013ef84a044028114aae1ebf41d8a0e5e.md),Cups,,Emotional Setbacks,Minor,"The Five of Cups signifies loss,regret
26_Five_of_Wands.jpg,Five of Wands,"Challenges,Conflict",Five of Wands (Five%20of%20Wands%2013ef84a04402814288fefc6ccb1e4fec.md),Wands,,Competition,Minor,Conflict and competition; a struggle for power.,
30_Nine_of_Wands.jpg,Nine of Wands,"Facing Challenges,Resilience",Nine of Wands (Nine%20of%20Wands%2013ef84a0440281dcbc40cb3f51e84e2c.md),Wands,,Perseverance,Minor,The Nine of Wands represents resilience and perseverance in the face of challenges.,
59_Ten_of_Pentacles.jpg,Ten of Pentacles,2024",Generational Wealth,Ten of Pentacles (Ten%20of%20Pentacles%2013ef84a0440281ef89f6d760895f9f31.md),Pentacles,"Nov 18,"Family Legacy,Tradition",Minor,"Wealth
48_Queen_of_Cups.jpg,Queen of Cups,2025",Emotional Wisdom,Queen of Cups (Queen%20of%20Cups%2013ef84a04402815090d1ebf089a11ae4.md),Cups,"Feb 19,"Compassion,Empathy",Minor,"The Queen of Cups represents emotional intelligence
54_Five_of_Pentacles.jpg,Five of Pentacles,"Financial Struggle,Isolation",Five of Pentacles (Five%20of%20Pentacles%2013ef84a0440281c6af99f701b8c76429.md),Pentacles,,Hardship,Minor,"The Five of Pentacles signifies hardship,struggle
28_Seven_of_Wands.jpg,Seven of Wands,"Courage,Determination",Seven of Wands (Seven%20of%20Wands%2013ef84a04402813b9469e9e41099b07a.md),Wands,,Defending,Minor,Defend your position and stand your ground against adversity.,
9_The_Hermit.jpg,IX The Hermit,"Inner Guidance,Solitude",IX The Hermit (IX%20The%20Hermit%2013ef84a0440281fc8aa5e8d5970cfcc0.md),Major Card,,Introspection,Major,The Hermit: A journey inward for self-discovery and reflection.,
6_The_Lovers.jpg,VI The Lovers,"Choices,Partnerships",VI The Lovers (VI%20The%20Lovers%2013ef84a04402819abca5ce7cca2adacc.md),Major Card,,Love,Major,"Tarot Card One-Liner: A union of love and harmony,representing deep connections and choices in relationships."
60_Page_of_Pentacles.jpg,Page of Pentacles,"Curiosity,Practical Beginnings",Page of Pentacles (Page%20of%20Pentacles%2013ef84a044028153983aeeb5acaf78e9.md),Pentacles,,Knowledge,Minor,"The Page of Pentacles represents a thirst for knowledge and a desire to learn new skills,particularly in the material or practical realm."
8_Strength.jpg,VIII Strength,"Compassion,Patience",VIII Strength (VIII%20Strength%2013ef84a044028130bdb0cdfc76fdf34a.md),Major Card,,Inner Courage,Major,Strength: The courage to face challenges with confidence and compassion.,
47_Knight_of_Cups.jpg,Knight of Cups,"Charm,Romance",Knight of Cups (Knight%20of%20Cups%2013ef84a0440281b7bbf2ec1529d7a57d.md),Cups,,Pursuit of Desires,Minor,"The Knight of Cups represents a romantic and idealistic approach to life,embodying creativity and emotional depth."
21_The_World.jpg,XXI The World,"Accomplishment,Fulfillment",XXI The World (XXI%20The%20World%2013ef84a0440281eeb5fbeaaa51793a16.md),Major Card,,Completion,Major,"The World: Completion and fulfillment,bringing together the lessons learned on your journey."
35_King_of_Wands.jpg,King of Wands,"Leadership,Vision",King of Wands (King%20of%20Wands%2013ef84a04402811f8a56fdc165597b30.md),Wands,,Taking Charge,Minor,"The King of Wands represents leadership,vision
73_Ten_of_Swords.jpg,Ten of Swords,"Betrayal,Transformation",Ten of Swords (Ten%20of%20Swords%2013ef84a0440281c892b8e9ccbc704705.md),Swords,,Rock Bottom,Minor,"The Ten of Swords signifies betrayal,loss
34_Queen_of_Wands.jpg,Queen of Wands,"Charisma,Independence",Queen of Wands (Queen%20of%20Wands%2013ef84a0440281aaace0f0b8d08b72ed.md),Wands,,Confidence,Minor,"The Queen of Wands embodies confidence,creativity
46_Page_of_Cups.jpg,Page of Cups,"Creativity,New Emotions",Page of Cups (Page%20of%20Cups%2013ef84a0440281aebb13e7275de7cdf4.md),Cups,,Intuition,Minor,"The Page of Cups represents intuition,creativity
51_Two_of_Pentacles.jpg,Two of Pentacles,"Adaptability,Juggling",Two of Pentacles (Two%20of%20Pentacles%2013ef84a0440281039e91eb932d1b18ba.md),Pentacles,,Balance,Minor,"The Two of Pentacles signifies balance,adaptability
22_Ace_of_Wands.jpg,Ace of Wands,"Inspiration,Potential",Ace of Wands (Ace%20of%20Wands%2013ef84a0440281ceaa62c54d7780b1ef.md),Wands,,New Opportunities,Minor,A spark of inspiration and creative energy awaits you.,
31_Ten_of_Wands.jpg,Ten of Wands,"Burdens,Responsibilities",Ten of Wands (Ten%20of%20Wands%2013ef84a04402812b8c33c0c160a3c789.md),Wands,,Overwhelmed,Minor,The Ten of Wands represents the burden of responsibility and the weight of commitments.,
64_Ace_of_Swords.jpg,Ace of Swords,2024",New Clarity,Ace of Swords (Ace%20of%20Swords%2013ef84a0440281a4a4b6dd66b1e38e58.md),Swords,"Mar 17,"Breakthroughs,Truth and Justice",Minor,"The Ace of Swords represents clarity
77_King_of_Swords.jpg,King of Swords,"Authority,Sharp Judgment",King of Swords (King%20of%20Swords%2013ef84a044028196bcaee60815612d93.md),Swords,,Intellectual Power,Minor,"The King of Swords embodies intellect,authority
20_Judgement.jpg,XX Judgement,"Accountability,Transformation",XX Judgement (XX%20Judgement%2013ef84a044028175946ae1e4a1545d9f.md),Major Card,,Self-Reflection,Major,Tarot Card One-Liner: A moment of decisive clarity leading to a significant realization.,
23_Two_of_Wands.jpg,Two of Wands,2024",New Direction,Two of Wands (Two%20of%20Wands%2013ef84a04402811d9730ceace1e42cee.md),Wands,"Nov 18,"Choices,Planning",Minor,"The Two of Wands signifies planning
17_The_Stars.jpg,XVII The Stars,"Hope,Spiritual Guidance",XVII The Stars (XVII%20The%20Stars%2013ef84a044028110b968c96ea1c73e97.md),Major Card,,Inspiration,Major,"Tarot Card One-Liner: The Stars signify hope,inspiration
25_Four_of_Wands.jpg,Four of Wands,"Celebration,Stability",Four of Wands (Four%20of%20Wands%2013ef84a044028177b3f0d5dc31a223f9.md),Wands,,Harmony,Minor,"The Four of Wands signifies celebration,harmony
44_Nine_of_Cups.jpg,Nine of Cups,"Contentment,Wishes",Nine of Cups (Nine%20of%20Cups%2013ef84a04402815d9acce3771bfc5143.md),Cups,,Fulfillment,Minor,"The Nine of Cups signifies emotional fulfillment,contentment
15_The_Devil.jpg,XV The Devil,"Bondage,Temptation",XV The Devil (XV%20The%20Devil%2013ef84a04402816c89f1e971b4660143.md),Major Card,,Materialism,Major,"The Devil represents temptation,materialism
43_Eight_of_Cups.jpg,Eight of Cups,"Departure,Moving On",Eight of Cups (Eight%20of%20Cups%2013ef84a0440281f48cabf7c7c68e708e.md),Cups,,Higher Purpose,Minor,"The Eight of Cups signifies a journey of introspection and the pursuit of deeper meaning,often involving leaving behind what no longer serves you."
24_Three_of_Wands.jpg,Three of Wands,"Expansion,Foresight",Three of Wands (Three%20of%20Wands%2013ef84a0440281f892eaff4f74dd5416.md),Wands,,Exploration,Minor,"The Three of Wands signifies expansion,foresight
33_Knight_of_Wands.jpg,Knight of Wands,"Adventure,Determination",Knight of Wands (Knight%20of%20Wands%2013ef84a04402817fb00af7a8c3b22bb8.md),Wands,,Ambition,Minor,"The Knight of Wands represents action,adventure
76_Queen_of_Swords.jpg,Queen of Swords,"Discernment,Intellect",Queen of Swords (Queen%20of%20Swords%2013ef84a0440281ee9327ec3bdd14486e.md),Swords,,Independence,Minor,"The Queen of Swords represents clarity,intellect
65_Two_of_Swords.jpg,Two of Swords,"Balance,Decisions",Two of Swords (Two%20of%20Swords%2013ef84a04402817d93d6db6e4ca3fdee.md),Swords,,Choices,Minor,"Two of Swords: A card of difficult decisions and the need for balance,often representing inner conflict and the choice between two paths."
53_Four_of_Pentacles.jpg,Four of Pentacles,"Conservation,Stability",Four of Pentacles (Four%20of%20Pentacles%2013ef84a04402813e8f41e31656e42b4d.md),Pentacles,,Possessions,Minor,"The Four of Pentacles symbolizes control,stability
4_The_Emperor.jpg,IV The Emperor,"Authority,Structure",IV The Emperor (IV%20The%20Emperor%2013ef84a044028194a1ffc55c0cf700a2.md),Major Card,,Leadership,Major,"The Emperor: Authority,structure
29_Eight_of_Wands.jpg,Eight of Wands,2025",Momentum,Eight of Wands (Eight%20of%20Wands%2013ef84a04402817a9921c0c7a293be7f.md),Wands,"Feb 19,"Communication,Swift Progress",Minor,Swift movement and progress; things are happening quickly.
72_Nine_of_Swords.jpg,Nine of Swords,"Anxiety,Worry",Nine of Swords (Nine%20of%20Swords%2013ef84a04402816590a7c6022b9f1578.md),Swords,,Inner Turmoil,Minor,"The Nine of Swords represents anxiety,worry
36_Ace_of_Cups.jpg,Ace of Cups,"Heartwarming,New Emotions",Ace of Cups (Ace%20of%20Cups%2013ef84a044028144945bf5c4aa2c45f1.md),Cups,,Love,Minor,"The Ace of Cups represents new emotional beginnings,creativity
75_Knight_of_Swords.jpg,Knight of Swords,"Determination,Swift Action",Knight of Swords (Knight%20of%20Swords%2013ef84a0440281a79932f9f8ec6f89bf.md),Swords,,Fearlessness,Minor,"The Knight of Swords represents swift action,decisive communication
50_Ace_of_Pentacles.jpg,Ace of Pentacles,"Material Well-Being,Prosperity",Ace of Pentacles (Ace%20of%20Pentacles%2013ef84a044028121b12cdfeabceb4dc2.md),Pentacles,,New Opportunity,Minor,A new beginning and the potential for prosperity and success.,
67_Four_of_Swords.jpg,Four of Swords,"Recuperation,Stress Relief",Four of Swords (Four%20of%20Swords%2013ef84a044028172bc0cc2bdfc1e4d1f.md),Swords,,Rest,Minor,"The Four of Swords represents rest,contemplation
32_Page_of_Wands.jpg,Page of Wands,"Creative Inspiration,Exploration",Page of Wands (Page%20of%20Wands%2013ef84a0440281109795e88eef594dee.md),Wands,,Enthusiasm,Minor,"One-Liner: The Page of Wands embodies enthusiasm,exploration
71_Eight_of_Swords.jpg,Eight of Swords,"Feeling Trapped,Restriction",Eight of Swords (Eight%20of%20Swords%2013ef84a04402817ca2b8ca765436f53c.md),Swords,,Liberation,Minor,"The Eight of Swords represents feeling trapped or restricted,often due to self-imposed limitations."
0_The_Fool.jpg,0 The Fool,2025",Spontaneity,0 The Fool (0%20The%20Fool%2013ef84a0440281959de7c97545ad86e3.md),Major Card,"Feb 19,"New Beginnings,Trust",Major,"The Fool represents new beginnings
45_Ten_of_Cups.jpg,Ten of Cups,"Domestic Bliss,Love",Ten of Cups (Ten%20of%20Cups%2013ef84a04402811baf36f84d81e39d94.md),Cups,,Harmony,Minor,"The Ten of Cups represents emotional fulfillment,harmony in relationships
68_Five_of_Swords.jpg,Five of Swords,"Caution,Rivalry",Five of Swords (Five%20of%20Swords%2013ef84a04402814382e4ca1ef03e3c27.md),Swords,,Conflict,Minor,"The Five of Swords represents conflict,tension
62_Queen_of_Pentacles.jpg,Queen of Pentacles,"Abundance,Nurturing",Queen of Pentacles (Queen%20of%20Pentacles%2013ef84a04402810a88a7f6080c1648ab.md),Pentacles,,Connection to Nature,Minor,"The Queen of Pentacles symbolizes nurturing,practicality
61_Knight_of_Pentacles.jpg,Knight of Pentacles,"Diligence,Reliability",Knight of Pentacles (Knight%20of%20Pentacles%2013ef84a044028129ae84c079c99d4fd8.md),Pentacles,,Methodical Approach,Minor,"The Knight of Pentacles represents responsibility,hard work
39_Four_of_Cups.jpg,Four of Cups,"Contemplation,Self-Reflection",Four of Cups (Four%20of%20Cups%2013ef84a0440281938c3fd65cc0a40847.md),Cups,,Introspection,Minor,"The Four of Cups signifies contemplation,apathy
49_King_of_Cups.jpg,King of Cups,"Balance,Leadership",King of Cups (King%20of%20Cups%2013ef84a0440281938f0aeff26e844982.md),Cups,,Emotional Maturity,Minor,"The King of Cups represents emotional maturity,compassion
3_The_Empress.jpg,III The Empress,"Abundance,Nurturing",III The Empress (III%20The%20Empress%2013ef84a0440281b092faff1974d00861.md),Major Card,,Fertility,Major,The Empress: Nurturing abundance and fertility; a symbol of creativity and growth.,
38_Three_of_Cups.jpg,Three of Cups,"Celebration,Social Gatherings",Three of Cups (Three%20of%20Cups%2013ef84a044028142b778f1e2c00e46f3.md),Cups,,Joy,Minor,"The Three of Cups symbolizes celebration,friendship
56_Seven_of_Pentacles.jpg,Seven of Pentacles,2025",Patience,Seven of Pentacles (Seven%20of%20Pentacles%2013ef84a0440281f88649fe5937aca06e.md),Pentacles,"Feb 19,"Assessment,Reevaluation",Minor,"The Seven of Pentacles signifies patience
41_Six_of_Cups.jpg,Six of Cups,"Childhood Memories,Nostalgia",Six of Cups (Six%20of%20Cups%2013ef84a04402816ea142d68bad986213.md),Cups,,Innocence,Minor,"The Six of Cups represents nostalgia,childhood memories
5_The_Hierophant.jpg,V The Hierophant,"Guidance,Tradition",V The Hierophant (V%20The%20Hierophant%2013ef84a0440281c08657fbfb64996eb1.md),Major Card,,Spirituality,Major,"The Hierophant symbolizes spiritual wisdom,tradition
I_The_Magician.jpg,I The Magician,"Creativity,Skill",I The Magician (I%20The%20Magician%2013ef84a044028186a087d846b7896d70.md),Major Card,,Manifestation,Major,The Magician: Manifestation and resourcefulness; the power to create and transform.,
,IV the Emperor Reversed,2024",,,Major Card,"Nov 18,,"The Emperor Reversed signifies chaos,lack of control,and the need to rethink authority and structure in your life."
,Eight of swords reversed,2024",,,,"Nov 18,,The Eight of Swords reversed signifies liberation from restrictions and the courage to face challenges head-on.,Cody three card spread (Cody%20three%20card%20spread%20142f84a0440280918672c7ec9bb8d7b5.md),1
,Ace of Pentacles Reversed,2024",,,,"Nov 22,,The Ace of Pentacles Reversed signifies missed opportunities and a lack of resources or stability.,Cody three card spread (Cody%20three%20card%20spread%20146f84a04402807d83cce055b41df00b.md),1
,XX Judgement Reversed,2024",,,,"Nov 22,,The XX Judgement card reversed signifies self-doubt and a reluctance to face the truth.,Cody three card spread (Cody%20three%20card%20spread%20146f84a04402807d83cce055b41df00b.md),1
,,,The Fool: Embrace new beginnings and take a leap of faith.,,,,,,0,
,Ace of Swords Reversed,2025",Inner Turmoil",,,"Feb 19,"Communication,,"The Ace of Swords Reversed signifies confusion,miscommunication
,Two of Wands Reversed,2025",New Opportunities",,,"Feb 19,"Caution,,"The Two of Wands Reversed signifies a lack of planning and the fear of taking risks,often leading to missed opportunities."
,The Chariot Reversed,2025",Inner Turmoil,,,"Feb 19,"Emotional Setbacks,Loss",,"The Chariot Reversed signifies a lack of direction
,Knight of Wands Reversed,2025",Emotional Setbacks,,,"Feb 19,"Anxiety,Feeling Trapped",,"The Knight of Wands Reversed signifies delays
,The Empress Reversed,2025",Emotional Setbacks,,,"Feb 19,"Emotional Pain,Loss",,"The Empress Reversed signifies a lack of nurturing and creativity
,The Magician Reversed,2025",Emotional Setbacks,,,"Feb 19,"Deception,Feeling Trapped",,The Magician Reversed: Manipulation and deception can lead to lost opportunities.
