Title,Next Page,Order,Type,Date,Timeframe,Status,Tags,AI summary,Alternative Images,FORMULATED TITLE,Last,Last Page,Next,Page Content,Parent item,Sub-item
Being Misunderstood Due to Processing Style,Reflections on Survival & Self (Reflections%20on%20Survival%20&%20Self%2020af84a04402800184afc95c31653a40.md),0713,Insight,,2025,Drafting,,,,,,,,,,
Reflections on Survival & Self,Understanding Neurodivergence: My Design (Understanding%20Neurodivergence%20My%20Design%2020af84a0440280f999d8ea9420f7214f.md),0714,Insight,,2025,Drafting,,,,,,,,,,
"Resilience,Rewired",Systems of Survival (Systems%20of%20Survival%2020af84a04402800ebb8de21898317003.md),0801,Chapter,,2025,Drafting,,,,,,,,,
Systems of Survival,Neurodivergent Design: Systems that See Us (Neurodivergent%20Design%20Systems%20that%20See%20Us%2020af84a0440280e799d2cd163461374c.md),0802,Chapter,,2025,Drafting,,,,,,,,,,
Neurodivergent Design: Systems that See Us,Breaking the Silence PodCast (Breaking%20the%20Silence%20PodCast%20208f84a044028092bb02e20b1c3a38e4.md),0803,Chapter,,2025,Drafting,,,,,,,,,,
Breaking the Silence PodCast,The Cost of Silence (The%20Cost%20of%20Silence%2020af84a0440280a19c46eb76d988f46b.md),0804,Chapter,,2025,Drafting,,,,,,,,,,
The Cost of Silence,PART IX – Becoming & Forward Vision (PART%20IX%20%E2%80%93%20Becoming%20&%20Forward%20Vision%2020af84a044028044890dff0e4698b52b.md),0805,Chapter,,2025,Drafting,,,,,,,,,,
Affirmations for Survivors,Neurodivergent Design: Systems that See Us (Neurodivergent%20Design%20Systems%20that%20See%20Us%2020af84a044028052803cdd3bfdc87568.md),0901,Chapter,,2025,Drafting,,,,,,,,,,
Neurodivergent Design: Systems that See Us,PART X – Epilogue & Appendix (PART%20X%20%E2%80%93%20Epilogue%20&%20Appendix%2020af84a04402800fae82c7bb32f49395.md),0902,Chapter,,2025,Drafting,,,,,,,,,,
PART I – Dedication & Orientation,Dedication (Dedication%20208f84a0440280d88ca9fa6afad556e9.md),1000,PART,,0,Sneak Peak,"Dedication,,,,,,,,,
Dedication,Prologue (Prologue%20208f84a0440280de9858fa7b822b8a18.md),1001,Page,,0,Review,"People,,,,,,,,,
Prologue,What This Book Is About (What%20This%20Book%20Is%20About%20208f84a0440280f7ab37ded4de49b5a7.md),1002,Page,,0,Review,"Chapter,,,,,,,,,
What This Book Is About,Declaring My Truth (Declaring%20My%20Truth%20200f84a04402803f8b4ce342ca81042c.md),1100,Chapter,,0,Review,"Clarity,,,,,,,,,
Declaring My Truth,Survival as Sacred (Survival%20as%20Sacred%20208f84a04402814ca0ffeaef3158dc55.md),1101,Page,,0,Drafting,,,,,,,,,,
Survival as Sacred,Emotional Weight Builds Slowly (Emotional%20Weight%20Builds%20Slowly%20200f84a04402804abd2bc5d530b23fa5.md),1102,Page,,0,Drafting,"Future,,,,,,,,,
Emotional Weight Builds Slowly,It Was Never Just One Thing (It%20Was%20Never%20Just%20One%20Thing%20200f84a044028068b675df5148c73009.md),1103,Page,,0,Drafting,,,,,,,,,,
It Was Never Just One Thing,PART II – Origins & Early Life (PART%20II%20%E2%80%93%20Origins%20&%20Early%20Life%2020af84a044028018b2efc61bfe6326b3.md),1104,Page,,0,Drafting,,,,,,,,,,
PART II – Origins & Early Life,Childhood Foundations (Childhood%20Foundations%20208f84a0440281779c81e070a17cc7db.md),2000,PART,,1990-2008,Outlining,"Development,,,,,,,,,
Childhood Foundations,Early Trauma (Early%20Trauma%2020af84a0440280e2806dd01e26011ddf.md),2100,Page,,1990-1992,Outlining,"Early Development,,,,,,,,,
Early Trauma,Family Dynamics (Family%20Dynamics%2020af84a04402805696b3e7becb5f99d0.md),2101,,,1992-2005,Outlining,,,,,,,,,,
Family Dynamics,Religious Programming (Religious%20Programming%2020af84a044028090af08c4cf6236883e.md),2102,,,1990-2008,Outlining,,,,,,,,,,
Religious Programming,Desire for Peace and Clarity (Desire%20for%20Peace%20and%20Clarity%20200f84a044028033baf2eac302a274ec.md),2103,,,1990-2005,Outlining,,,,,,,,,,
Desire for Peace and Clarity,Isolation and Misunderstanding (Isolation%20and%20Misunderstanding%20200f84a0440280f4ad5afa445f8093db.md),2200,Page,,2005,Outlining,"Early Development,,,,,,,,,
Isolation and Misunderstanding,Formative Friendships (Formative%20Friendships%2020af84a04402806faffde4f778be2266.md),2201,Page,,2005-2008,Outlining,"Early Development,,,,,,,,,
Formative Friendships,Education and Misdiagnosis (Education%20and%20Misdiagnosis%2020af84a044028032803cc2a8eb94d2d0.md),2300,,,2005-2008,Outlining,,,,,,,,,,
Education and Misdiagnosis,School expulsion (School%20expulsion%2020df84a0440280c09fa2f6e6495d12c3.md),2400,,,1994-2008,Outlining,,,,,,,,,,
School expulsion,The Dream of Stability (The%20Dream%20of%20Stability%2020af84a0440280b384defd339c250663.md),2401,,,2008,Outlining,,,,,,,,,,
The Dream of Stability,PART III – Ascent & Vision Amidst Challenge (PART%20III%20%E2%80%93%20Ascent%20&%20Vision%20Amidst%20Challenge%2020af84a04402803c94aac43a40a8dd2c.md),2500,,,2000-2008,Outlining,,,,,,,,,,
PART III – Ascent & Vision Amidst Challenge,Reset 1 (Reset%201%2020df84a0440280babddac841616591fe.md),3000,PART,,2008-2024,Outlining,,,,,,,,,,
Reset 1,Leaving Home (Leaving%20Home%2020df84a044028003852ad03b4c43f904.md),3100,,,2008-2015,Outlining,,,,,,,,,,
Leaving Home,Scholarly Mentors (Scholarly%20Mentors%2020df84a04402802db3d3ea1ae48da998.md),3102,,,2009,Outlining,,,,,,,,,,
Scholarly Mentors,Adulting (Adulting%2020df84a04402802aba44e937d32af9a8.md),3103,,,2009-2010,Outlining,,,,,,,,,,
Albertano,,3104,,,2010-2011,Not Started,,,,,,,,,,
Adulting,"Bumby in the road,emotionally abuseive relationship (Bumby%20in%20the%20road,%20emotionally%20abuseive%20relationsh%2020df84a0440280c59691fe519d6bbd31.md)",3105,,,2011-2012,,,,,,,,,
"Bumby in the road,emotionally abuseive relationship",Reset 2 (Reset%202%2020df84a044028090b6d6cd944a8000d6.md),3106,,,2013-2014,Outlining,,,,,,,,,
Reset 2,Meeting Joel (Meeting%20Joel%2020df84a044028073bbc8e5c7a1e088d6.md),3200,,,2014-2015,Outlining,,,,,,,,,,
Meeting Joel,Husbands Case (Husbands%20Case%2020af84a0440280cdb680e1513ac25a8b.md),3210,,,2016,Outlining,,,,,,,,,,
Husbands Case,Aspirations Begin (Aspirations%20Begin%20208f84a04402818ea9f7c6f4ae004474.md),3211,,,2016,Outlining,,,,,,,,,,
Aspirations Begin,Business Takes Shape (Business%20Takes%20Shape%2020af84a044028069aff6df68120bd7f6.md),3300,Timeline,,2017-2019,Outlining,"Aspirations,,,,,,,,,
Joel’s Deportation,Early Warnings (Early%20Warnings%20208f84a04402819b8855c2d73c77eebc.md),3400,Chapter,,2022,Outlining,,,,,,,,,,
Ruthies Goodbye,,3500,,,,Not Started,,,,,,,,,,
Mom Comes to Stay,,3600,,,,Not Started,,,,,,,,,,
PART IV – Collapse & Consequences,Joel’s Deportation (Joel%E2%80%99s%20Deportation%2020af84a0440280e39973d2b9d2093415.md),4000,PART,,2022-2025,Outlining,Chapter,,,,,,,,,
Taking Over Alone,Mom Departs (Mom%20Departs%2021bf84a04402809baec2ea7d151970ab.md),4100,,,,Not Started,,,,,,,,,,
Mom Departs,Mental Health Impact (Mental%20Health%20Impact%2020af84a04402805e99f7e8657ff0bee5.md),4110,,,,Not Started,,,,,,,,,,
Mental Health Impact,Transition (Transition%2021bf84a0440280d4b557d75b7246510f.md),4200,Chapter,,2023,Outlining,,,,,,,,,,
Transition,Wavering Community Support (Wavering%20Community%20Support%20208f84a044028005a7f5f354914d7d35.md),4300,,,,Not Started,,,,,,,,,,
Wavering Community Support,Unmet Requests for Help (Unmet%20Requests%20for%20Help%2020af84a0440280cab897f1f11229609b.md),4300,Chapter,,2024-2025,Outlining,,,,,,,,,,
Unmet Requests for Help,Business Ventures Initiated (Business%20Ventures%20Initiated%20208f84a0440280049810fbe6755ce6d1.md),4301,Chapter,,2024,Outlining,,,,,,,,,,
Business Ventures Initiated,Business Ventures Initiated (Business%20Ventures%20Initiated%2020af84a0440280ffa3c9dd0d303315ac.md),4400,Chapter,,2019,Outlining,,,,,,,,,,
Lafayette Storefront Opened,Personal Investment (Personal%20Investment%20208f84a04402803c9b5ceb22925ae8a5.md),4410,Chapter,,2023-2024,Outlining,,,,,,,,,,
Personal Investment,Business Begins to Unravel (Business%20Begins%20to%20Unravel%2021bf84a04402802a8daec11029266851.md),4420,Chapter,,2023-2024,Outlining,,,,,,,,,,
Business Begins to Unravel,Unhealthy Thoughts (Unhealthy%20Thoughts%2021bf84a04402802f8d09d84ed6bdeaf0.md),4500,,,,Not Started,,,,,,,,,,
Unhealthy Thoughts,Restructuring and Partnerships (Restructuring%20and%20Partnerships%2021bf84a04402802c8ac1d2b9f838f46d.md),4600,,,,Outlining,,,,,,,,,,
Restructuring and Partnerships,Early Warnings (Early%20Warnings%20208f84a04402819b8855c2d73c77eebc.md),4700,,,2023,Outlining,,,,,,,,,,
Early Warnings,Totaled Tesla (Totaled%20Tesla%2020af84a044028084a78ada0f5f0e3c8b.md),4701,Timeline,,2022,Outlining,Early Warnings,,,,,,,,,
Totaled Tesla,Health Crisis (Health%20Crisis%2020af84a0440280f683d1c31efbf8c9d0.md),4800,Chapter,,2023,Outlining,,,,,,,,,,
Health Crisis,PART V – Awakening & Realignment  (PART%20V%20%E2%80%93%20Awakening%20&%20Realignment%2020af84a044028033bf52fbae366f3909.md),4900,Chapter,,2024,Outlining,,,,,,,,,,
"PART V – Awakening & Realignment ",Spiritual Awakening (Spiritual%20Awakening%20200f84a044028086984ad507e9335592.md),5000,PART,,2023,Drafting,,,,,,,,,,
Awakening & Neurodivergence,Spiritual + Emotional Evolution (Spiritual%20+%20Emotional%20Evolution%20200f84a0440280afb3c7d362daab1578.md),5100,Chapter,,2024,Drafting,"Awakening,,,,,,,,,
Spiritual Awakening,Awakening & Neurodivergence (Awakening%20&%20Neurodivergence%20208f84a04402807c9b64dd5f027d85f1.md),5100,Chapter,,2024,Drafting,,,,,,,,,,
Spiritual + Emotional Evolution,Living Between Worlds (Living%20Between%20Worlds%20200f84a04402801b97dec84aed45ace2.md),5200,Chapter,,2024,Drafting,,,,,,,,,,
Living Between Worlds,Breaking the Silence (Breaking%20the%20Silence%2020af84a04402805e9645d8416136b5e6.md),5300,Chapter,,2024,Drafting,,,,,,,,,,
Breaking the Silence,Business Ventures Initiated (Business%20Ventures%20Initiated%20208f84a0440280049810fbe6755ce6d1.md),5400,Chapter,,2024,Drafting,,,,,,,,,,
PART VI – Collapse Continues (2024–Present),Partnerships Formed (Partnerships%20Formed%2020af84a0440280d1bf2efc310d079d83.md),6000,PART,,2025,Drafting,,,,,,,,,,
The Descent,Severe Financial Setbacks (Severe%20Financial%20Setbacks%2020af84a044028012a6b5cb58fd56d24b.md),6100,Chapter,,2024-2025,Drafting,,,,,,,,,,
Severe Financial Setbacks,Unpaid Invoices Mount (Unpaid%20Invoices%20Mount%2020af84a0440280299ff0ed86f33fdd2c.md),6101,Chapter,,2023-24,Drafting,,,,,,,,,,
Unpaid Invoices Mount,Operational Overload (Operational%20Overload%2020af84a044028084bb56f6970000dda3.md),6102,Chapter,,2023,Outlining,,,,,,,,,,
Operational Overload,Business Ventures Initiated (Business%20Ventures%20Initiated%20208f84a0440280049810fbe6755ce6d1.md),6103,Chapter,,2023,Drafting,,,,,,,,,,
Business Ventures Initiated,SRVGroup (SRVGroup%2021bf84a0440280778109e6e5e215a793.md),6200,Chapter,,2024,Drafting,,,,,,,,,,
SRVGroup,Hopeful Demise (Hopeful%20Demise%2021bf84a044028032a93fdc468859c8ce.md),6201,,,2024,Not Started,,,,,,,,,,
Hopeful Demise,Mini Stroke (Mini%20Stroke%2021bf84a0440280c79979d2cfc6b9dd31.md),6202,,,2024,Not Started,,,,,,,,,,
Mini Stroke,Rideshare (Rideshare%2021bf84a0440280108801c96ad46cebc7.md),6203,,,2024,Not Started,,,,,,,,,,
Rideshare,Totaled Tesla 2 (Totaled%20Tesla%202%2020af84a04402803db59cd04d0f2b499b.md),6204,,,2024,Not Started,,,,,,,,,,
Totaled Tesla 2,Spiritual Reawakening (Spiritual%20Reawakening%2021bf84a04402805bb808fccbe71b3653.md),6300,Chapter,,2024,Outlining,,,,,,,,,,
Spiritual Reawakening,Partnerships Formed (Partnerships%20Formed%2020af84a0440280d1bf2efc310d079d83.md),6400,,,2023,Not Started,,,,,,,,,,
Partnerships Formed,Joels Return (Joels%20Return%2021bf84a04402803cbfeacb1d77edf18e.md),6400,Chapter,,2024,Drafting,,,,,,,,,,
Joels Return,IISITAX Venture Breakdown (IISITAX%20Venture%20Breakdown%20208f84a04402802cadb3c157312dcb02.md),6500,,,2024,Not Started,,,,,,,,,,
Web of Compounding Challenges,The Weight We Carry: A Framework for Understanding Invisible Burdens (The%20Weight%20We%20Carry%20A%20Framework%20for%20Understanding%20%20208f84a0440280158c69e60a13aadf24.md),6700,Chapter,,2025,Drafting,,,,,,,,,,
IISITAX Venture Breakdown,Crystal and Arleth’s Betrayal (Crystal%20and%20Arleth%E2%80%99s%20Betrayal%2020af84a04402804f9611eee405fe2786.md),6710,Chapter,,2025,Drafting,,,,,,,,,,
Crystal and Arleth’s Betrayal,IisiTax Parking Fiasco (IisiTax%20Parking%20Fiasco%20218f84a044028035b0a6fed2cc5c7f62.md),6720,Chapter,,2025,Drafting,,,,,,,,,,
Compounded Grief,Bankruptcy (Bankruptcy%2021bf84a044028053b0d7f0afc741b755.md),6720,Chapter,,2025,Drafting,,,,,,,,,,
Bankruptcy,New Diagnosis (New%20Diagnosis%2020ff84a04402809592d0e67bc1eabe48.md),6730,,,,Not Started,,,,,,,,,,
IisiTax Parking Fiasco,Shut Down and Displacement (Shut%20Down%20and%20Displacement%2020af84a0440280fe9280e5098116f3a8.md),6730,,,June 2025,Not Started,,,,,,,,,,
New Diagnosis,HIV Scare (HIV%20Scare%2020ff84a044028046bf9ec43e0bb791ec.md),6740,,,June 2025,Not Started,,,,,,,,,,
Shut Down and Displacement,Compounded Grief (Compounded%20Grief%2020af84a04402807fbac9c56a69d2c548.md),6740,Chapter,,2024-2025,Drafting,,,,,,,,,,
HIV Scare,"Legal Battles (Bankruptcy,Foreclosure,ICE) (Legal%20Battles%20(Bankruptcy,%20Foreclosure,%20ICE)%2020af84a0440280d08c4cc924ae6b39b1.md)",6741,,,,,,,,,,
"Legal Battles (Bankruptcy,Foreclosure,ICE)",Joels Absentiism (Joels%20Absentiism%2020ff84a0440280cf9878fdc0403ec1d1.md),6750,Page,,2025,,,,,,,,,
Joels Absentiism,Mothers Explosion (Mothers%20Explosion%2020ff84a04402806096b3e30e9061c570.md),6760,,,June 2025,Not Started,,,,,,,,,,
Mothers Explosion,The Weight We Carry: A Framework for Understanding Invisible Burdens (The%20Weight%20We%20Carry%20A%20Framework%20for%20Understanding%20%20208f84a0440280158c69e60a13aadf24.md),6770,,,June 2025,Not Started,,,,,,,,,,
The Weight We Carry: A Framework for Understanding Invisible Burdens,Marathon of Life with Weighted Burdens (Marathon%20of%20Life%20with%20Weighted%20Burdens%2020af84a04402800ea9efd931640a578b.md),6800,,,2025,Drafting,,,,,,,,,,
Marathon of Life with Weighted Burdens,Estimated Burden Levels (Estimated%20Burden%20Levels%2020af84a0440280929ca5f7525c968cec.md),6801,Page,,2025,Drafting,,,,,,,,,,
Estimated Burden Levels,Mental Health Factors (Mental%20Health%20Factors%2020af84a0440280e9bbd7c96d70f77246.md),6802,Page,,2025,Drafting,,,,,,,,,,
Mental Health Factors,Physical Health Factors (Physical%20Health%20Factors%2020af84a0440280028a0fc3598d6598d5.md),6803,Page,,2025,Drafting,,,,,,,,,,
Physical Health Factors,Other Factors (Other%20Factors%2020af84a04402801ba3b7df8d56d545d8.md),6804,Page,,2025,Drafting,,,,,,,,,,
Other Factors,Visual Metaphor: A Surreal Marathon of Survival (Visual%20Metaphor%20A%20Surreal%20Marathon%20of%20Survival%2020af84a044028095a9c6d573800e8e08.md),6805,Page,,2025,Drafting,,,,,,,,,,
Visual Metaphor: A Surreal Marathon of Survival,"Legal Battles (Bankruptcy,Foreclosure,ICE) (Legal%20Battles%20(Bankruptcy,%20Foreclosure,%20ICE)%2020af84a0440280d08c4cc924ae6b39b1.md)",6806,Page,,,,,,,,,
Burden Point System: Quantifying the Unseen,Reset 3 on the horizon (Reset%203%20on%20the%20horizon%2021bf84a04402803a86f0def4c69212bc.md),6807,Page,,2025,Drafting,,,,,,,,,,
Turning Point: A Personal Update,,6810,,,2025,Not Started,,,,,,,,,,
Reset 3 on the horizon,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md),6900,,,2026,Not Started,,,,,,,,,,
New Revelation - Move!,,6910,,,2027,Not Started,,,,,,,,,,
PART VII – Letters to the World,To the Survivors (To%20the%20Survivors%2020af84a0440280bfb187c68fd3327b15.md),7000,PART,,2025,Drafting,,,,,,,,,,
Understanding Neurodivergence: My Design,PART VIII – Systems of Survival (PART%20VIII%20%E2%80%93%20Systems%20of%20Survival%2020af84a044028004893cd0bef5039f92.md),7100,Page,,2025,Drafting,,,,,,,,,,
PART VIII – Systems of Survival,"Resilience,Rewired (Resilience,%20Rewired%2020af84a0440280eb8af5e9aa9c5cec7b.md)",8000,PART,,2025,,,,,,,,,
PART IX – Becoming & Forward Vision,Affirmations for Survivors (Affirmations%20for%20Survivors%2020af84a0440280cd9152f5041bae461e.md),9000,PART,,2026,Drafting,,,,,,,,,,
PART X – Epilogue & Appendix,Building Systems for Neurodivergent Minds (Building%20Systems%20for%20Neurodivergent%20Minds%20208f84a044028157955aeac86c6ef071.md),10000,PART,,2025,Drafting,,,,,,,,,,
Epilogue,Reflections on Survival & Self (Reflections%20on%20Survival%20&%20Self%2020af84a04402803b8befd4f0ee620c8c.md),10100,Epilogue,,2025,Drafting,,,,,,,,,,
Reflections on Survival & Self,Supporting Resources (Supporting%20Resources%20208f84a0440280f8b256e8cc2ffed699.md),10200,Insight,,2025,Drafting,,,,,,,,,,
Supporting Resources,Appendix-Reference (Appendix-Reference%20208f84a04402804fa8e1c229647b2a20.md),10300,Appendix,,2025,Drafting,,,,,,,,,,
Building Systems for Neurodivergent Minds,Epilogue (Epilogue%2020af84a04402809d8704ee5027a16b07.md),10400,PART,,2022+,Drafting,"Adaptability,,,,,,,,,
Appendix-Reference,Next Steps and Aspirations (Next%20Steps%20and%20Aspirations%20208f84a04402806aaf80c22f947bcce1.md),10500,Appendix,,2025,Drafting,Future Planning,,,,,,,,,
Next Steps and Aspirations,PART XI - Manual to Me: Cody’s Guide to Understanding & Connection (PART%20XI%20-%20Manual%20to%20Me%20Cody%E2%80%99s%20Guide%20to%20Understandi%20203f84a044028013b57ecce49990408d.md),10600,Insight,,2025,Drafting,,,,,,,,,,
PART XI - Manual to Me: Cody’s Guide to Understanding & Connection,PART I – Dedication & Orientation (PART%20I%20%E2%80%93%20Dedication%20&%20Orientation%2020af84a0440280d0a951d435a9f04824.md),11000,,,2025,Published,,,,,,,,,,
Isolation and Misunderstanding,,Desire for Peace and Clarity (Desire%20for%20Peace%20and%20Clarity%20200f84a044028033baf2eac302a274ec.md),,rejecting the notion of being broken,Outlining,2201,Desire for Peace and Clarity (Desire%20for%20Peace%20and%20Clarity%20200f84a044028033baf2eac302a274ec.md),"The author expresses feelings of isolation and misunderstanding,emphasizing the struggle of being perceived as overly emotional or chaotic while dealing with deep-seated pain. They highlight the challenges of communicating their experiences and the frustration of being met with superficial empathy. The piece advocates for the importance of being seen and understood,and encourages others to reclaim their narratives without shrinking to fit others' comfort.",,,2201_Isolation and Misunderstanding-2005-2008,,Formative Friendships (Formative%20Friendships%2020af84a04402806faffde4f778be2266.md),
Desire for Peace and Clarity,Religious Programming (Religious%20Programming%2020af84a044028090af08c4cf6236883e.md),,"Early Development,advocating for peace and the need for others to listen without assumptions or demands for explanations.",Isolation and Misunderstanding (Isolation%20and%20Misunderstanding%20200f84a0440280f4ad5afa445f8093db.md),,Outlining,"The desire for clarity involves expressing feelings without over-explaining or being misunderstood,especially for those with trauma or neurodivergence. It emphasizes the importance of creating an environment where true understanding can flourish,,,2200_Desire for Peace and Clarity-2005,,Isolation and Misunderstanding (Isolation%20and%20Misunderstanding%20200f84a0440280f4ad5afa445f8093db.md),2200,PART II – Origins & Early Life (PART%20II%20%E2%80%93%20Origins%20&%20Early%20Life%2020af84a044028018b2efc61bfe6326b3.md)
Spiritual + Emotional Evolution,,Awakening & Neurodivergence (Awakening%20&%20Neurodivergence%20208f84a04402807c9b64dd5f027d85f1.md),,including manipulation and legal issues,Drafting,5200,PART V – Awakening & Realignment  (PART%20V%20%E2%80%93%20Awakening%20&%20Realignment%2020af84a044028033bf52fbae366f3909.md),"Navigating trauma and betrayal while seeking love and higher purpose,the narrative outlines a personal healing journey that addresses professional challenges,and plans for a biographical manifesto to share experiences and foster healing through various media.",,,5200_Spiritual + Emotional Evolution-2024,,Living Between Worlds (Living%20Between%20Worlds%20200f84a04402801b97dec84aed45ace2.md),
Living Between Worlds,,Spiritual + Emotional Evolution (Spiritual%20+%20Emotional%20Evolution%20200f84a0440280afb3c7d362daab1578.md),,while facing financial and immigration hurdles. They prioritize inclusive services and neurodivergent productivity,Drafting,5300,PART V – Awakening & Realignment  (PART%20V%20%E2%80%93%20Awakening%20&%20Realignment%2020af84a044028033bf52fbae366f3909.md),"Cody Rice-Velasquez navigates multiple intersecting identities,including being a transgender person of color with ADHD and mental health challenges,responding best to patient support and reassurance during overwhelming times.",,,5300_Living Between Worlds-2024,,Breaking the Silence (Breaking%20the%20Silence%2020af84a04402805e9645d8416136b5e6.md),
Spiritual Awakening,,Awakening & Neurodivergence (Awakening%20&%20Neurodivergence%20208f84a04402807c9b64dd5f027d85f1.md),2024,,,PART V – Awakening & Realignment  (PART%20V%20%E2%80%93%20Awakening%20&%20Realignment%2020af84a044028033bf52fbae366f3909.md),,"A book titled ""Angela's Awakening: A Journey of Light and Shadow"" is in the drafting stage,with a focus on spiritual awakening and personal growth.",,5100_Spiritual Awakening-2024,,PART V – Awakening & Realignment  (PART%20V%20%E2%80%93%20Awakening%20&%20Realignment%2020af84a044028033bf52fbae366f3909.md),5100,,Drafting
Declaring My Truth,,What This Book Is About (What%20This%20Book%20Is%20About%20208f84a0440280f7ab37ded4de49b5a7.md),,emphasizing their right to exist authentically. They reject being defined by others' narratives and assert their complexity and individuality,Drafting,1101,What This Book Is About (What%20This%20Book%20Is%20About%20208f84a0440280f7ab37ded4de49b5a7.md),"After years of conforming to others' expectations,the author declares their truth unapologetically,presenting a manifesto of self-determination and authenticity.",yOfrYwFjdVsL9L15RA2qN.png,,1101_Declaring My Truth-0,,Survival as Sacred (Survival%20as%20Sacred%20208f84a04402814ca0ffeaef3158dc55.md),
Emotional Weight Builds Slowly,,,,until they become overwhelming. Society teaches us to suppress our feelings,1103,Survival as Sacred (Survival%20as%20Sacred%20208f84a04402814ca0ffeaef3158dc55.md),It Was Never Just One Thing (It%20Was%20Never%20Just%20One%20Thing%20200f84a044028068b675df5148c73009.md),"Emotional burdens accumulate gradually,often unnoticed,but this leads to a buildup that eventually breaks through in a flood of emotions. True strength lies not in enduring pain silently but in recognizing when to release these burdens,whether through tears,anger,or finally expressing long-held truths.",1103_Emotional Weight Builds Slowly-0,,
It Was Never Just One Thing,PART II – Origins & Early Life (PART%20II%20%E2%80%93%20Origins%20&%20Early%20Life%2020af84a044028018b2efc61bfe6326b3.md),1104,Page,,0,Drafting,,Healing from trauma is a complex process that cannot be reduced to a single event or cause. It involves recognizing the gradual accumulation of experiences that erode one's sense of self and understanding that rebuilding requires a thorough examination of all aspects of one's identity. Acknowledging this complexity is essential for true healing and growth.,01-07_It_Was_Never_Just_One_Thing_(2).png,1104_It Was Never Just One Thing-0,,Emotional Weight Builds Slowly (Emotional%20Weight%20Builds%20Slowly%20200f84a04402804abd2bc5d530b23fa5.md),,,What This Book Is About (What%20This%20Book%20Is%20About%20208f84a0440280f7ab37ded4de49b5a7.md),
PART XI - Manual to Me: Cody’s Guide to Understanding & Connection,support needs,and methods for managing struggles,,work habits,Next Steps and Aspirations (Next%20Steps%20and%20Aspirations%20208f84a04402806aaf80c22f947bcce1.md),,,"A comprehensive guide detailing personal identity,values,communication styles,emotional landscape,growth strategies,routines,aimed at fostering mutual understanding and connection.",,11000_PART XI - Manual to Me: Cody’s Guide to Understanding & Connection-2025
