Name,Category,Subject,Content,Tone,Placeholders
{{meeting_agenda}},,,,,
Please let me know if you need to reschedule or if you have any questions before our meeting.,,,,,
Looking forward to our discussion!,,,,,
Cody",professional,"[""client_name"",""meeting_date"",""meeting_time"",""timezone""
Follow-Up After Meeting,follow_up,Follow-Up: Our Meeting on {{meeting_date}},"Dear {{client_name}},,
Thank you for your time today. I wanted to follow up with a summary of what we discussed and the next steps.,,,,,
Key Points Discussed:,,,,,
{{discussion_points}},,,,,
Action Items:,,,,,
For me:,,,,,
{{my_action_items}},,,,,
For you:,,,,,
{{client_action_items}},,,,,
Our next meeting is scheduled for {{next_meeting_date}}.,,,,,
Please let me know if I missed anything or if you have any questions.,,,,,
Cody",professional,"[""client_name"",""meeting_date"",""discussion_points"",""my_action_items""
Project Completion,other,{{project_name}} - Completion and Next Steps,"Dear {{client_name}},,
I'm pleased to inform you that we've completed {{project_name}}. It's been a pleasure working with you on this project.,,,,,
Final Deliverables:,,,,,
{{deliverables_list}},,,,,
All files have been uploaded to your client portal for your review.,,,,,
Next Steps:,,,,,
• Please review the deliverables at your earliest convenience,,,,,
• Provide any final feedback within {{feedback_timeframe}},,,,,
• Schedule a wrap-up call if needed,,,,,
Would you like to schedule a brief call to discuss the final result and any potential future projects?,,,,,
Thank you again for your collaboration.,,,,,
Cody",professional,"[""client_name"",""project_name"",""deliverables_list"",""feedback_timeframe""]"
New Proposal,proposal,Proposal for {{project_name}} - {{client_company}},"Dear {{client_name}},,
Thank you for the opportunity to submit a proposal for {{project_name}}. Based on our discussion,I've prepared a comprehensive proposal that addresses your needs and objectives.,,,,
The proposal includes:,,,,,
• Project scope and deliverables,,,,,
• Timeline and milestones,,,,,
• Investment details and payment schedule,,,,,
• Terms and conditions,,,,,
You can access the full proposal here: {{proposal_link}},,,,,
I'd be happy to discuss any aspects of the proposal in more detail. Would you like to schedule a call to review it together?,,,,,
I look forward to the possibility of working together on this project.,,,,,
Cody",formal,"[""client_name"",""project_name"",""client_company"",""proposal_link""]"
Testimonial Request,follow_up,Your Feedback Matters - Testimonial Request,"Dear {{client_name}},,
I hope you're enjoying the results of our recent project together. It's been a pleasure working with you on {{project_name}}.,,,,,
I'm reaching out to ask if you would be willing to share your experience working with me as a testimonial. Your feedback is valuable and would help potential clients understand the benefits of my services.,,,,,
A few sentences about your experience,results,or our working relationship would be greatly appreciated. You can either reply to this email or use the testimonial form in your client portal.,,,
Thank you for considering this request. I truly value our professional relationship.,,,,,
Cody",friendly,"[""client_name"",""project_name""]",,
Check-In,check_in,Checking In - How's Everything Going?,"Dear {{client_name}},,
I hope this message finds you well. It's been {{time_since_last_contact}} since our last interaction,and I wanted to check in to see how things are going.,,,,
Are you satisfied with the {{service_provided}} so far? Is there anything I can do to better support you or your team?,,,,,
I'm always looking for ways to improve our collaboration and ensure you're getting the most value from our work together.,,,,,
Would you have time for a brief call next week to catch up? If so,please let me know what times work best for you.,,,,
Looking forward to hearing from you.,,,,,
Cody",friendly,"[""client_name"",""time_since_last_contact"",""service_provided""]",
Thank You Note,thank_you,Thank You for {{occasion}},"Dear {{client_name}},,
I wanted to take a moment to express my sincere gratitude for {{occasion}}. Your {{specific_action}} means a lot to me and I truly appreciate it.,,,,,
{{personalized_message}},,,,,
I look forward to our continued collaboration and success together.,,,,,
Warm regards,,,,,
Cody",friendly,"[""client_name"",""occasion"",""specific_action"",""personalized_message""]"
Welcome Email,other,,"Dear {{client_name}},,
Cody","[""client_name"",""portal_url"",""company_name"",""client_email"",""meeting_date""
Project Update,project_update,,"Dear {{client_name}},,
Cody","[""client_name"",""in_progress_tasks"",""project_name"",""upcoming_tasks"",""completed_tasks""
Invoice Notification,invoice,,"Dear {{client_name}},,
Cody","[""client_name"",""invoice_amount"",""invoice_number"",""issue_date"",""project_name""
Meeting Confirmation,meeting_request,,"Dear {{client_name}},,
Cody","[""client_name"",""timezone"",""meeting_date"",""meeting_location"",""meeting_time""
Follow-Up After Meeting,follow_up,,"Dear {{client_name}},,
Cody","[""client_name"",""my_action_items"",""meeting_date"",""client_action_items"",""discussion_points""
Project Completion,other,,"Dear {{client_name}},,
Cody","[""client_name"",""feedback_timeframe""]",""project_name"",{{project_name}} - Completion and Next Steps,""deliverables_list""
New Proposal,proposal,,"Dear {{client_name}},,
Cody","[""client_name"",""proposal_link""]",""project_name"",Proposal for {{project_name}} - {{client_company}},""client_company""
Testimonial Request,follow_up,,"Dear {{client_name}},,
Cody","[""client_name"",friendly,""project_name""]",,Your Feedback Matters - Testimonial Request
Check-In,check_in,,"Dear {{client_name}},,
Cody","[""client_name"",Checking In - How's Everything Going?,""time_since_last_contact"",friendly,""service_provided""]"
Thank You Note,thank_you,,"Dear {{client_name}},,
Cody","[""client_name"",""personalized_message""]",""occasion"",Thank You for {{occasion}},""specific_action""
