Name,Course Description,Type,Code,Freq,AI keywords,Cover,Course Chapters,Parent item,Subtitle,URL
"Diversity,Equity,and Inclusion (DEI)","This course on Diversity,Equity,and Inclusion (DEI) aims to provide participants with a comprehensive understanding of the principles and practices that foster an inclusive environment. Through interactive discussions,case studies,,,,
Conflict Resolution and Communication Skills,"This course focuses on developing essential conflict resolution and communication skills that are crucial in both personal and professional settings. Participants will learn effective strategies to identify,address,and resolve conflicts while enhancing their ability to communicate clearly and empathetically. Through interactive discussions,role-playing,and practical exercises,students will gain the tools needed to foster positive relationships and create a collaborative environment. Ideal for individuals looking to improve their interpersonal skills and manage conflicts constructively.",,,,
Performance Management (For supervisors and managers),"This course on Performance Management is designed for supervisors and managers to enhance their understanding of effective performance evaluation techniques. Participants will learn how to set clear performance expectations,provide constructive feedback,and conduct performance reviews that foster employee development. The course will cover best practices in managing performance issues and creating a culture of continuous improvement within teams. By the end of the course,participants will be equipped with the skills necessary to drive performance and achieve organizational goals.",Course,5.3,,,,
Workplace Conduct and Ethics,"This course on Workplace Conduct and Ethics aims to equip participants with the knowledge and skills necessary to navigate ethical dilemmas and demonstrate professional behavior in the workplace. Through engaging discussions and practical scenarios,learners will explore the importance of integrity,respect,and accountability in fostering a positive work environment. Participants will also gain insights into organizational policies,legal considerations,and best practices for maintaining ethical standards in their professional interactions.",,,,
Role-Specific and Industry-Specific Training,"This course provides comprehensive training tailored to specific roles and industries. Participants will gain essential skills and knowledge necessary for their positions,ensuring they are well-equipped to meet the demands of their work environment. The curriculum combines theoretical concepts with practical applications,fostering a deep understanding of industry standards and practices. This training is crucial for both new hires and existing employees looking to enhance their expertise and contribute effectively to their teams.",Bundle,06.00,Annual Or At Hiring,,,,
Leadership and Management Skills,"This course on Leadership and Management Skills is designed to equip participants with essential techniques and strategies for effective leadership in various organizational settings. Participants will explore key concepts such as team dynamics,decision-making,conflict resolution,and motivational practices. Through interactive discussions and practical exercises,learners will develop the skills necessary to lead teams,manage projects,,,,
Customer Service Excellence (For client-facing roles),"This course,""Customer Service Excellence,"" is designed for individuals in client-facing roles who seek to enhance their customer service skills. Participants will learn effective communication techniques,problem-solving strategies,and best practices for delivering exceptional service. Through interactive sessions and real-world scenarios,attendees will develop the confidence needed to handle customer inquiries and resolve issues efficiently,,,,
Technical Skills Development (As applicable),"This course focuses on the development of technical skills essential for success in various fields. Participants will engage in hands-on learning experiences that enhance their proficiency in relevant technologies and methodologies. Through a combination of lectures,practical exercises,and collaborative projects,learners will gain the confidence and expertise needed to apply their skills effectively in real-world situations.",Course,6.3,,,,
Sustainability in Business (Optional),"This course explores the principles of sustainability as they apply to business practices. Students will examine how companies can integrate sustainable practices into their operations,improve their environmental impact,and promote social responsibility. Through case studies and discussions,participants will gain insights into the challenges and opportunities of adopting sustainable business models in today’s economy.",Course,6.4,,,,
Company-Specific Training,"The Company-Specific Training course is designed to equip employees with essential knowledge and skills tailored to the unique needs and policies of our organization. This comprehensive training program covers key aspects of our company culture,operational procedures,and compliance requirements to ensure every team member is aligned with our mission and values. Participants will engage in interactive sessions and practical exercises to foster a deeper understanding and application of company-specific practices.",Bundle,07.00,Annual Or At Hiring,,,,
Internal policies and SOPs.,"This course provides an in-depth understanding of internal policies and standard operating procedures (SOPs) within the organization. Participants will explore the importance of compliance,the development and implementation of effective policies,and the role of SOPs in maintaining operational efficiency and consistency. Through case studies and practical examples,attendees will gain the skills necessary to navigate and apply these policies in their daily work.",Course,7.1,,,,
Technology or software tools.,"This course provides an overview of various technology and software tools that are crucial for effective operations in modern environments. Participants will explore key software applications,their functionalities,and how to leverage these tools to enhance productivity and efficiency. Through hands-on experience and practical examples,learners will develop the skills necessary to select and utilize appropriate technology solutions for their specific needs.",Course,7.2,,,,
Cultural alignment and values.,"This course on Cultural Alignment and Values explores the fundamental principles that guide organizational culture and the alignment of individual values with those of the organization. Participants will engage in discussions and activities designed to enhance their understanding of cultural dynamics,the impact of values on decision-making processes,and strategies for fostering a cohesive work environment. Through case studies and practical examples,learners will gain insights into how cultural alignment can drive organizational success and employee satisfaction.",Course,7.3,,,,
Leadership and Advanced Management Training,"This Leadership and Advanced Management Training course is designed to equip participants with the essential skills and knowledge required to excel in leadership roles. The program covers advanced management techniques,effective communication strategies,and decision-making processes that enhance team performance and drive organizational success. Participants will engage in interactive workshops,case studies,and real-world simulations to apply their learning in practical settings. This course is ideal for current and aspiring leaders looking to advance their careers and foster a culture of excellence within their organizations.",Bundle,,,,
Leadership and Coaching Skills,"This course on Leadership and Coaching Skills is designed to equip participants with essential skills for effective leadership and coaching in various environments. Participants will explore key concepts of leadership,understand different coaching styles,and learn how to inspire and motivate individuals and teams. Through interactive activities,case studies,and real-world applications,learners will develop the ability to foster a positive organizational culture and enhance team performance.",,,,
Building High-Performing Teams,"This course,""Building High-Performing Teams,"" focuses on the essential skills and strategies needed to create and sustain effective teams in various organizational settings. Participants will explore team dynamics,communication techniques,conflict resolution,and leadership approaches that foster collaboration and productivity. Through interactive activities and real-world case studies,,,,
Advanced Conflict Resolution for Leaders,"This course,""Advanced Conflict Resolution for Leaders,"" is designed to equip leaders with the skills and strategies necessary to effectively navigate and resolve conflicts within their teams and organizations. Participants will explore advanced techniques for identifying underlying issues,facilitating constructive dialogue,and fostering a collaborative environment. Through interactive workshops and real-life scenarios,leaders will learn to leverage conflict as an opportunity for growth and innovation,,,,
Employee Wellness and Engagement,"This course,""Employee Wellness and Engagement,"" focuses on strategies and practices designed to enhance employee well-being and foster a culture of engagement within the workplace. Participants will explore various aspects of wellness,including physical,mental,and emotional health,,,,
Stress Management and Mental Health Awareness,"This course on Stress Management and Mental Health Awareness aims to equip participants with the knowledge and tools necessary to understand and manage stress effectively. It will cover various strategies for promoting mental well-being,including mindfulness techniques,coping mechanisms,and the importance of self-care. Participants will engage in discussions,practical exercises,and reflections to enhance their awareness of mental health issues and develop skills to manage stress in both personal and professional contexts.",,,,
Building a Culture of Feedback and Recognition,"This course,""Building a Culture of Feedback and Recognition,"" focuses on the importance of establishing an environment where feedback is regularly exchanged and accomplishments are acknowledged. Participants will learn strategies for fostering open communication,promoting constructive criticism,and implementing recognition practices that enhance team morale and performance. Through interactive discussions and practical exercises,attendees will explore how a culture of feedback can drive engagement and contribute to a more productive workplace.",,,,
Work-Life Balance Policies and Practices,"This course explores the essential principles and practices surrounding work-life balance,emphasizing the importance of maintaining a healthy equilibrium between professional commitments and personal well-being. Participants will examine various policies,strategies,and tools that organizations can implement to support employees in achieving work-life balance. Through discussions and case studies,learners will gain insights into best practices and the impact of work-life balance on employee satisfaction,productivity,,,,
New Hire and Onboarding Essentials,"The ""New Hire and Onboarding Essentials"" course is designed to equip newly hired employees with the fundamental knowledge and skills necessary for a successful transition into the organization. This course covers essential topics such as company policies,workplace culture,role expectations,and effective communication strategies. Through a combination of interactive sessions and practical exercises,participants will gain a comprehensive understanding of their new environment,fostering confidence and engagement from day one.",,,,
Employee Handbook Overview,"This course provides a comprehensive overview of the Employee Handbook,detailing essential policies,procedures,and guidelines that govern workplace behavior and expectations. Participants will learn about their rights and responsibilities as employees,as well as the resources available to support their professional development within the organization.",Course,,,,
30-60-90 Day Training Plans,"The ""30-60-90 Day Training Plans"" course is designed to equip participants with effective strategies for creating and implementing structured training plans that span the first 30,60,and 90 days of onboarding. Participants will learn how to establish clear goals,measure progress,and ensure a smooth transition for new employees into their roles. This course emphasizes practical applications and real-world scenarios to enhance the learning experience.",Course,,,,
Workplace Conduct and Expectations,"This course on Workplace Conduct and Expectations is designed to provide participants with a comprehensive understanding of the professional behaviors and standards expected in a workplace environment. Through interactive discussions and practical scenarios,learners will explore topics such as effective communication,teamwork,conflict resolution,and ethical decision-making. The course aims to equip individuals with the skills necessary to navigate workplace dynamics,foster a positive work culture,,,,
Compliance Deep Dives,"This course,""Compliance Deep Dives,"" provides an in-depth exploration of compliance regulations and best practices. Participants will gain a thorough understanding of compliance requirements relevant to their industry,as well as practical strategies for ensuring adherence to these regulations. Through a combination of theoretical knowledge and real-world case studies,this course aims to equip individuals with the tools necessary to navigate the complexities of compliance in their roles.",Bundle,,,,
HIPAA and Data Privacy,"This course provides an in-depth understanding of the Health Insurance Portability and Accountability Act (HIPAA) and its implications for data privacy. Participants will explore the regulations surrounding the protection of patient information,the responsibilities of healthcare providers,and strategies for maintaining compliance. Through case studies and practical examples,learners will gain insights into best practices for safeguarding sensitive data in the healthcare environment.",Course,11.1,,,,
OSHA Advanced Safety Standards,"This course,""OSHA Advanced Safety Standards,"" provides an in-depth examination of the advanced safety regulations and standards set forth by the Occupational Safety and Health Administration (OSHA). Participants will gain a comprehensive understanding of workplace safety protocols,risk management strategies,and compliance requirements. The course is designed for safety professionals,managers,,,,
Employment Law Essentials,"This course provides a comprehensive overview of employment law,covering essential legal principles that govern the employer-employee relationship. Participants will explore topics such as employee rights,workplace discrimination,wage and hour laws,and the implications of various employment contracts. Through case studies and practical examples,students will gain the knowledge necessary to navigate the complexities of employment law effectively.",,,,
Accounting and Finance Training,"This Accounting and Finance Training course is designed to provide participants with a comprehensive understanding of fundamental accounting principles and financial management practices. The training will cover key topics such as financial reporting,budgeting,forecasting,and analysis,equipping participants with the skills necessary to make informed financial decisions. Through a combination of theoretical knowledge and practical applications,attendees will gain insights into effective financial strategies that can be applied within their organizations.",,,,
Expense Management and Reimbursement Policies,"This course on Expense Management and Reimbursement Policies provides an in-depth understanding of the principles and practices related to managing expenses and processing reimbursements within an organization. Participants will learn about budgeting,expense tracking,and compliance with relevant policies and regulations. The course aims to equip individuals with the skills necessary to effectively manage financial resources and ensure proper reimbursement processes.",Course,12.1,,,,,
Basic Accounting Principles,"This course provides an introduction to the fundamental principles of accounting. Students will learn key concepts such as the accounting cycle,financial statements,and the importance of accurate record-keeping. Through practical exercises and real-world examples,participants will gain a solid understanding of how to analyze financial information and make informed business decisions.",Course,12.2,,,,
Tax Compliance and Reporting,"This course on Tax Compliance and Reporting provides an in-depth understanding of the regulations and requirements necessary for ensuring tax compliance in various jurisdictions. Participants will learn about the processes involved in tax reporting,the importance of accurate documentation,and strategies to mitigate risks associated with non-compliance. The course is designed for individuals seeking to enhance their knowledge and skills in tax-related matters,whether for personal or professional purposes.",Course,12.3,,,,
Business Filings and Startups,"This course provides a comprehensive overview of business filings and the startup process. Participants will learn about the essential legal and regulatory requirements for starting a business,including how to prepare and submit necessary documentation. The course also covers best practices for maintaining compliance and the implications of various business structures. Ideal for entrepreneurs and business professionals looking to understand the foundational aspects of launching and managing a startup.",Bundle,13.00,Annual Or At Hiring,,,,,
Essential Business Filings and Licenses,"This course provides an in-depth understanding of the essential business filings and licenses required for starting and operating a business. Participants will learn about various legal requirements,documentation processes,and the significance of compliance with federal,state,and local regulations. The course aims to equip entrepreneurs and business owners with the knowledge necessary to navigate the complexities of business registration,licensing,,,,
Building an Operations Manual,"This course,""Building an Operations Manual,"" is designed to provide participants with the essential skills and knowledge required to create,implement,and maintain an effective operations manual. Participants will learn how to document processes,establish standard operating procedures,,,,
Introduction to Business Compliance,"This course provides an overview of the essential principles and practices of business compliance. Students will explore the regulatory landscape affecting businesses and learn how to develop effective compliance programs. Topics will include risk assessment,ethical standards,and the role of compliance officers in ensuring organizational integrity. Through case studies and practical applications,participants will gain the skills necessary to navigate compliance challenges in various industries.",Course,13.3,,,,
Marketing Mastery,"Course Description:,,,,,,,,,
Marketing Mastery is an intensive program designed to equip participants with the skills and knowledge necessary to excel in the ever-evolving field of marketing. This course covers essential marketing principles,innovative strategies,and the latest digital tools used to engage customers effectively. Students will explore various marketing channels,develop their analytical skills,and learn how to create compelling marketing campaigns that drive results. Whether you're a beginner looking to enter the marketing field or a professional seeking to enhance your expertise,this course provides a comprehensive foundation for mastering marketing in today's competitive landscape.",Bundle,,,,
Digital Marketing Fundamentals,"This course provides an in-depth understanding of digital marketing principles and practices. Students will explore various digital marketing channels,including social media,email marketing,search engine optimization (SEO),and content marketing. Through hands-on projects and case studies,participants will learn how to develop effective digital marketing strategies,,,,
Content Creation and Branding,"This course on Content Creation and Branding explores the essential strategies and techniques for developing compelling content and a strong brand identity. Participants will learn how to effectively create,curate,and distribute content across various platforms while understanding the fundamentals of branding,including brand voice,visual identity,and audience engagement. Through practical exercises and case studies,,,,
Marketing Analytics and ROI,"This course on Marketing Analytics and ROI will provide students with a comprehensive understanding of how to measure and analyze marketing performance. Participants will learn about various analytics tools and techniques to assess the effectiveness of marketing strategies. The course will cover key performance indicators (KPIs),return on investment (ROI) calculations,and data-driven decision-making processes that can lead to improved marketing outcomes.",Course,14.3,,,,,
Business Growth and Continuity,"This course,""Business Growth and Continuity,"" focuses on strategies and practices essential for sustaining and expanding a business in today’s dynamic market. Participants will explore the principles of business development,effective resource management,and continuity planning to ensure long-term success. Through a combination of theoretical insights and practical applications,learners will be equipped to navigate challenges and seize opportunities for growth.",,,,
Scaling Operations Without Compromise,"This course,""Scaling Operations Without Compromise,"" explores effective strategies for enhancing operational efficiency while maintaining quality standards. Participants will learn how to identify growth opportunities,implement scalable processes,and ensure that increased output does not lead to diminished product or service quality. Through case studies and practical exercises,students will gain insights into balancing growth with operational integrity,,,,
Risk Management and Business Continuity Planning,"This course on Risk Management and Business Continuity Planning provides participants with the essential skills and knowledge to identify,assess,and manage risks that can disrupt business operations. Participants will learn about the frameworks and strategies for developing effective business continuity plans,ensuring that organizations can maintain critical functions during emergencies. The course will cover risk assessment methodologies,crisis management,and the importance of ongoing evaluation and improvement of continuity plans.",,,,
Strategic Planning for Growth,"This course,""Strategic Planning for Growth,"" focuses on the essential skills and methodologies needed to develop and implement effective strategies for organizational growth. Participants will learn how to assess current market conditions,identify growth opportunities,and create actionable plans that align with their organization's vision and goals. Through case studies and practical exercises,students will gain insights into strategic decision-making processes and the importance of adaptability in a rapidly changing business environment.",,,,
001. Purpose of the Course,"The course aims to provide students with a comprehensive understanding of the subject matter,equipping them with the necessary skills and knowledge to excel in their field. Through a combination of theoretical lectures and practical applications,students will explore key concepts,engage in critical thinking,and participate in collaborative projects. This course is designed to foster a deep appreciation for the subject and prepare students for future challenges in their academic and professional pursuits.",,,,,
002. Defining and Recognizing Sexual Harassment,"This course,""Defining and Recognizing Sexual Harassment,"" aims to provide participants with a comprehensive understanding of what constitutes sexual harassment in various environments. Through engaging discussions,case studies,and interactive activities,learners will explore the legal definitions,,,,
003. The Impact of Harassment in the Workplace,"This course,""The Impact of Harassment in the Workplace,"" explores the various forms of harassment that can occur in professional settings and their effects on individuals and organizations. Participants will gain an understanding of the legal framework surrounding workplace harassment,recognize the signs and consequences,and learn effective strategies for prevention and response. Through case studies and interactive discussions,this course aims to foster a safer and more inclusive work environment.",,,,
004. Preventing Sexual Harassment,"This course,""Preventing Sexual Harassment,"" aims to educate participants about the importance of creating a safe and respectful environment in the workplace and other settings. It will cover key concepts related to sexual harassment,including definitions,types,and the impact it has on individuals and organizations. Participants will learn strategies to identify,,,,
005. Reporting and Responding to Harassment,"This course,""Reporting and Responding to Harassment,"" provides participants with essential knowledge and skills to effectively address and report instances of harassment in various environments. Through interactive discussions and practical scenarios,learners will understand the legal frameworks surrounding harassment,recognize different forms of harassment,and explore best practices for responding to incidents. The course aims to empower individuals to create safer and more respectful spaces by equipping them with the tools needed to take appropriate action.",,,,
006. Supervisors and Managers: Responsibilities and Best Practices (Optional),"This course,""Supervisors and Managers: Responsibilities and Best Practices,"" is designed to provide participants with a comprehensive understanding of the key responsibilities and best practices for effective supervision and management. Participants will explore essential leadership skills,effective communication techniques,and strategies for team motivation and conflict resolution. Through case studies and interactive discussions,learners will gain practical insights to enhance their management capabilities and foster a positive work environment. This optional course is ideal for new and aspiring supervisors and managers seeking to refine their skills and improve team performance.",,,,
007. Final Assessment and Acknowledgement,"This course,titled ""007. Final Assessment and Acknowledgement,"" focuses on the culmination of learning and experiences gathered throughout the course. Students will engage in a comprehensive assessment that evaluates their understanding and application of key concepts. The course will also emphasize the importance of acknowledging contributions from peers and mentors,fostering a collaborative learning environment. Participants will reflect on their journey,assess their growth,and articulate their readiness for future challenges in their field of study.",,,,
State-Specific Mandated Training (Indiana),Workplace Substance Abuse Training (Workplace%20Substance%20Abuse%20Training%20148f84a0440280caa2e3eaf8f14ddae7.md)",2%201.png,02.00,ensuring that participants are well-informed and prepared for their roles. The training is designed to be engaging and informative,,"This course provides essential training tailored to the specific requirements mandated by the state of Indiana. It covers vital topics relevant to compliance and best practices within the state,"Anti-Discrimination Training (Anti-Discrimination%20Training%20148f84a0440280daae54d5a9c17f6807.md),incorporating interactive elements to enhance the learning experience. Participants will gain a thorough understanding of state regulations and policies,which are critical for effective job performance and adherence to legal standards.",Annual Or At Hiring
General Workplace Safety,Ergonomics and Workplace Injury Prevention (Ergonomics%20and%20Workplace%20Injury%20Prevention%20148f84a044028015b896e3bb150767ec.md)",and the importance of reporting unsafe conditions. Through interactive discussions and practical scenarios,03.00,safety protocols,,"This course on General Workplace Safety provides essential training to ensure a safe and healthy work environment for all employees. Participants will learn about potential hazards,"Emergency Preparedness (Emergency%20Preparedness%20148f84a0440280c38028ddfc4482f2c3.md),and best practices to prevent accidents and injuries. The course will cover topics such as emergency procedures,proper use of personal protective equipment (PPE),attendees will gain the knowledge and skills needed to promote safety in the workplace."
01.00 Compliance Essentials: Federally Mandated Workforce Training,Sexual Harrassment,HIPAA Compliance (For applicable industries) (HIPAA%20Compliance%20(For%20applicable%20industries)%20148f84a0440280e5938dd642a6eee0f5.md),HIPAA and Labor Hour Wages,01.00,"Compliance Training,Workplace Safety",Legal Requiremets,"01.01 Federally Mandated Training: Sexual Harassment Prevention (01%2001%20Federally%20Mandated%20Training%20Sexual%20Harassmen%20148f84a044028017a9b1f5b3280df57f.md),Workplace Safety (OSHA Standards) (Workplace%20Safety%20(OSHA%20Standards)%20148f84a04402805d8eb6e8f772bb7223.md),
Wage and Hour Laws (FLSA) (Wage%20and%20Hour%20Laws%20(FLSA)%20148f84a0440280f89656ce9801b998c0.md)",learn best practices for maintaining compliance,Ensuring Legal Compliance Across Industries,""Compliance Essentials: Federally Mandated Workforce Training,1%201.png,"This course,and explore the implications of non-compliance. This training is crucial for both new hires and existing employees to foster a culture of compliance within the organization.","" provides a comprehensive overview of the essential legal requirements that organizations must adhere to in order to ensure compliance with federal regulations. Participants will gain a thorough understanding of the various compliance mandates that apply to their industry,Annual Or At Hiring,,Bundle
01.01 Federally Mandated Training: Sexual Harassment Prevention,01.01,005. Reporting and Responding to Harassment (005%20Reporting%20and%20Responding%20to%20Harassment%20162f84a04402803da91eeb3a3705c88b.md),Respectful Workplace Culture,002. Defining and Recognizing Sexual Harassment (002%20Defining%20and%20Recognizing%20Sexual%20Harassment%20162f84a044028058b618e38de98a4e47.md),"Compliance Training,"001. Purpose of the Course (001%20Purpose%20of%20the%20Course%20162f84a0440280e2bc0be4a0123db0a9.md),Sexual Harrassment",003. The Impact of Harassment in the Workplace (003%20The%20Impact%20of%20Harassment%20in%20the%20Workplace%20162f84a0440280b890a7e9773caf9cbc.md),004. Preventing Sexual Harassment (004%20Preventing%20Sexual%20Harassment%20162f84a04402806496e7d4a9999f9743.md),006. Supervisors and Managers: Responsibilities and Best Practices (Optional) (006%20Supervisors%20and%20Managers%20Responsibilities%20and%20%20162f84a04402805fbfc1fa3af934c9fa.md)
Workplace Safety (OSHA Standards),"The Workplace Safety course is designed to educate employees on the importance of safety standards in the workplace,Annual Or At Hiring,01.02,recognize potential hazards,,focusing on OSHA regulations. Participants will learn about the necessary precautions and procedures to ensure a safe working environment,,and understand their rights and responsibilities under OSHA standards. This course aims to foster a culture of safety within the organization and to reduce the risk of workplace injuries and accidents.",,01.00 Compliance Essentials: Federally Mandated Workforce Training (01%2000%20Compliance%20Essentials%20Federally%20Mandated%20Wor%20d08a39afc3b94386b06729e96d8f0a6b.md)
HIPAA Compliance (For applicable industries),"This course provides an overview of the Health Insurance Portability and Accountability Act (HIPAA) and its significance in protecting patient information. Participants will learn about the key provisions of HIPAA,,01.03,and best practices for safeguarding sensitive health data. Through case studies and practical examples,,compliance requirements,,attendees will gain insight into how to apply HIPAA regulations in their respective industries,ensuring that they maintain the highest standards of confidentiality and security in handling patient information.",Annual Or At Hiring
Wage and Hour Laws (FLSA)","This course provides an overview of the Wage and Hour Laws as governed by the Fair Labor Standards Act (FLSA). Participants will learn about the key provisions of the FLSA,participants will be equipped with the knowledge necessary to navigate wage and hour issues effectively in the workplace.",01.04,overtime pay regulations,,including minimum wage requirements,,and recordkeeping standards. The course will also cover the implications of these laws for both employers and employees,ensuring that attendees understand their rights and responsibilities. By the end of the course,
Cybersecurity and Data Privacy,Data Privacy Laws (Data%20Privacy%20Laws%20148f84a04402809f8bf8f92aae2ecb68.md),the course emphasizes the importance of safeguarding data in various environments and equips learners with the skills to implement effective security measures.",04.00,"This course on Cybersecurity and Data Privacy provides an in-depth understanding of the principles and practices necessary to protect sensitive information from unauthorized access and breaches. Participants will learn about the latest cybersecurity threats,,Social Media and Cybersecurity Policy (Social%20Media%20and%20Cybersecurity%20Policy%20148f84a044028031baf0c19db5ce3f68.md)","Cybersecurity Awareness (Cybersecurity%20Awareness%20148f84a04402803a965ae101e80dcac0.md),data protection regulations,and strategies for mitigating risks. Through practical exercises and case studies,4.png
Human Resources and Professional Development,Equity,Performance Management (For supervisors and managers) (Performance%20Management%20(For%20supervisors%20and%20manage%20148f84a044028046958af999c634419c.md),05.00,%20Equity,,and Inclusion (DEI) (Diversity,"Diversity,%20and%20Inclusion%20(DEI)%20148f84a04402806eb4e4fb2b4a65eb84.md),Conflict Resolution and Communication Skills (Conflict%20Resolution%20and%20Communication%20Skills%20148f84a0440280a4b58ce9b72e6f5727.md),Workplace Conduct and Ethics (Workplace%20Conduct%20and%20Ethics%20148f84a0440280698275f7e180aaf328.md)"
